cod;UF;populacao
2305209;CE;20126
2305233;CE;69688
2305266;CE;13385
2305308;CE;25165
2305332;CE;12730
2305357;CE;20183
2305407;CE;68303
2305506;CE;103633
2305605;CE;26196
2305654;CE;11597
2305704;CE;12507
2305803;CE;42148
2305902;CE;38064
2306009;CE;14351
2306108;CE;24450
2306207;CE;7904
2306256;CE;38661
2306306;CE;53448
2306405;CE;131687
2306504;CE;20653
2306553;CE;42595
2306603;CE;22018
2306702;CE;18133
2306801;CE;11580
2306900;CE;34592
2307007;CE;33960
2307106;CE;27187
2307205;CE;8150
2307254;CE;20351
2307304;CE;278264
2307403;CE;24949
2307502;CE;31476
2307601;CE;60232
2307635;CE;20031
2307650;CE;230986
2307700;CE;131677
2307809;CE;27822
2307908;CE;11407
2308005;CE;39341
2308104;CE;48370
2308203;CE;15309
2308302;CE;27413
2308351;CE;13129
2308377;CE;13965
2308401;CE;35566
2308500;CE;43917
2308609;CE;17264
2308708;CE;61590
2308807;CE;8833
2308906;CE;22830
2309003;CE;14561
2309102;CE;11056
2309201;CE;15798
2309300;CE;32487
2309409;CE;28737
2309458;CE;25958
2309508;CE;21342
2309607;CE;74145
2309706;CE;85647
2309805;CE;12313
2309904;CE;6565
2310001;CE;9458
2310100;CE;13553
2310209;CE;35526
2310258;CE;33232
2310308;CE;31391
2310407;CE;12276
2310506;CE;43359
2310605;CE;9207
2310704;CE;38045
2310803;CE;16356
2310852;CE;20964
2310902;CE;17210
2310951;CE;11052
2311009;CE;12358
2311108;CE;14920
2311207;CE;11165
2311231;CE;6455
2311264;CE;21246
2311306;CE;88899
2311355;CE;16116
2311405;CE;82455
2311504;CE;22432
2311603;CE;29238
2311702;CE;18279
2311801;CE;79550
2311900;CE;15757
2311959;CE;16714
2312007;CE;32851
2312106;CE;17726
2312205;CE;43719
2312304;CE;48354
2312403;CE;49306
2312502;CE;7557
2312601;CE;13086
2312700;CE;25418
2312809;CE;7758
2312908;CE;212437
2313005;CE;18389
2313104;CE;32079
2313203;CE;26199
2313252;CE;8555
2313302;CE;59259
2313351;CE;19551
2313401;CE;77111
2313500;CE;56653
2313559;CE;16588
2313609;CE;35295
2313708;CE;7740
2313757;CE;19976
2313807;CE;22223
2313906;CE;13988
2313955;CE;18520
2314003;CE;41078
2314102;CE;61916
2400109;RN;11106
2400208;RN;58743
2400307;RN;11024
2400406;RN;3293
2400505;RN;13529
2400604;RN;4685
2400703;RN;14923
2400802;RN;11695
2400901;RN;7162
2401008;RN;35904
2401107;RN;28156
2401206;RN;14526
2401305;RN;9686
2401404;RN;9373
2401453;RN;29112
2401503;RN;3989
2401602;RN;5552
2401651;RN;2171
2401701;RN;10323
2401800;RN;12873
2401859;RN;6572
2401909;RN;3745
2402006;RN;68726
2402105;RN;11363
2402204;RN;34814
2402303;RN;20588
2402402;RN;8297
2402501;RN;10972
2402600;RN;74268
2402709;RN;11182
2402808;RN;5501
2402907;RN;4918
2403004;RN;7968
2403103;RN;45022
2403202;RN;7068
2403251;RN;272490
2403301;RN;5697
2403400;RN;6064
2403509;RN;10463
2403608;RN;29282
2403707;RN;6009
2403756;RN;3081
2403806;RN;9772
2403905;RN;2801
2404002;RN;4015
2404101;RN;2903
2404200;RN;27004
2404309;RN;13115
2404408;RN;10541
2404507;RN;16261
2404606;RN;14033
2404705;RN;15759
2404804;RN;2264
2404853;RN;7641
2404903;RN;5916
2405009;RN;9341
2405108;RN;6907
2405207;RN;5228
2405306;RN;10367
2405405;RN;4935
2405504;RN;2600
2405603;RN;15044
2405702;RN;12397
2405801;RN;35360
2405900;RN;2653
2406007;RN;5941
2406106;RN;18335
2406155;RN;3945
2406205;RN;6851
2406304;RN;7624
2406403;RN;2732
2406502;RN;15880
2406601;RN;8348
2406700;RN;11410
2406809;RN;4768
2406908;RN;4053
2407005;RN;10175
2407104;RN;82828
2407203;RN;32260
2407252;RN;4102
2407302;RN;8325
2407401;RN;8790
2407500;RN;12714
2407609;RN;4665
2407708;RN;11166
2407807;RN;22698
2407906;RN;2063
2408003;RN;303792
2408102;RN;896708
2408201;RN;28266
2408300;RN;37554
2408409;RN;4231
2408508;RN;4813
2408607;RN;4298
2408706;RN;3732
2408805;RN;5307
2408904;RN;21611
2408953;RN;10961
2409100;RN;13667
2409209;RN;3114
2409308;RN;12861
2409332;RN;5689
2409407;RN;30802
2409506;RN;3163
2409605;RN;2419
2409704;RN;6591
2409803;RN;14881
2409902;RN;15411
2410009;RN;3900
2410108;RN;15646
2410207;RN;7944
2410256;RN;6605
2410306;RN;10646
2410405;RN;9825
2410504;RN;5158
2410603;RN;3214
2410702;RN;3648
2410801;RN;4194
2410900;RN;8310
2411007;RN;4457
2411056;RN;4173
2411106;RN;3584
2411205;RN;40295
2411403;RN;11808
2411429;RN;2699
2411502;RN;24422
2411601;RN;2687
2411700;RN;4541
2411809;RN;3606
2411908;RN;4281
2412005;RN;104919
2412104;RN;6221
2412203;RN;44566
2412302;RN;12901
2412401;RN;4696
2412500;RN;23789
2412559;RN;10441
2412609;RN;17858
2412708;RN;5889
2412807;RN;8183
2412906;RN;11051
2413003;RN;6476
2413102;RN;6167
2413201;RN;4527
2413300;RN;5739
2413359;RN;12225
2413409;RN;8105
2413508;RN;6128
2413557;RN;4832
2413607;RN;1743
2413706;RN;5600
2413805;RN;2606
2413904;RN;12314
2414001;RN;16008
2414100;RN;10923
2414159;RN;6085
2414209;RN;14694
2414308;RN;2427
2414407;RN;33716
2414456;RN;3195
2414506;RN;10485
2414605;RN;14937
2414704;RN;5529
2414753;RN;4232
2414803;RN;12789
2414902;RN;1731
2415008;RN;3217
2500106;PB;10375
2500205;PB;5622
